Regime,Total Fuel Burn (kg),Total Time in Flight (min)
fuel,2497.8713476454573,64.96666666666667
fuel,2572.162267167262,66.86666666666666
fuel,4979.015277093073,127.2
fuel,4107.8027745833215,108.13333333333334
fuel,5298.235554241318,137.45
fuel,3899.4978547013866,102.5
fuel,3687.904424700597,96.93333333333334
fuel,1071.04308798435,28.7
fuel,4014.3353905603276,105.95
fuel,8012.847441183176,207.55
fuel,3882.2258303027365,101.26666666666667
fuel,4215.325712208482,111.16666666666667
fuel,1744.215843526611,45.56666666666667
fuel,4402.134164098194,116.25
fuel,6966.930297424458,180.53333333333333
fuel,5910.044214296128,151.75
fuel,6665.341963259261,171.96666666666667
fuel,3138.7153300027567,81.76666666666667
fuel,5558.615009049191,142.11666666666667
fuel,3041.869203593824,79.63333333333334
fuel,3703.4641887905227,97.08333333333333
fuel,1749.7240393540817,45.65
fuel,1224.2080967285403,32.5
fuel,6483.6130703898825,166.9
fuel,1915.1628695822872,49.43333333333333
fuel,1783.0574597109921,46.63333333333333
fuel,1514.6635128041842,39.833333333333336
fuel,4320.861227371936,113.53333333333333
fuel,5896.264950389971,151.61666666666667
likelihood,3034.8699475937565,54.833333333333336
likelihood,3202.783378135469,58.15
likelihood,5952.582506011229,116.26666666666667
likelihood,4900.627531988887,95.7
likelihood,6305.4234146059325,124.13333333333334
likelihood,4670.9465722277255,90.53333333333333
likelihood,4357.0045379794865,84.46666666666667
likelihood,1395.1759939864046,22.316666666666666
likelihood,4774.905404238569,93.06666666666666
likelihood,9706.311060173046,190.8
likelihood,4549.520352645076,89.06666666666666
likelihood,5037.728862378119,98.85
likelihood,2138.8112278796507,36.266666666666666
likelihood,5280.924849825444,103.53333333333333
likelihood,8314.235939419783,163.9
likelihood,7004.102715501337,138.05
likelihood,8215.736162837462,159.8
likelihood,3868.397103325953,73.1
likelihood,6722.854936493829,130.21666666666667
likelihood,3712.8026052202263,69.46666666666667
likelihood,4539.505467410058,86.9
likelihood,2147.0959371927024,36.38333333333333
likelihood,1550.9420949687355,25.583333333333332
likelihood,7634.227549606624,151.08333333333334
likelihood,2316.3388914861025,40.28333333333333
likelihood,2321.449993711997,39.666666666666664
likelihood,2019.8302393874255,33.63333333333333
likelihood,5092.830090339228,100.26666666666667
likelihood,7038.836523531096,138.18333333333334
risk,3386.7195609419473,60.18333333333333
risk,4124.43166657458,70.58333333333333
risk,7277.793529692995,138.3
risk,5510.208014713537,105.75
risk,7029.933462163115,135.01666666666668
risk,5228.741897636648,99.46666666666667
risk,6078.159405908462,111.0
risk,1470.4399977280575,21.766666666666666
risk,5415.408497955256,103.93333333333334
risk,10478.70823977872,208.7
risk,5226.475610773064,96.66666666666667
risk,6111.135083908647,118.13333333333334
risk,2332.4159044282205,38.78333333333333
risk,6288.609761834589,116.71666666666667
risk,9939.204607866473,191.53333333333333
risk,10276.020073721746,203.63333333333333
risk,9459.33379232275,196.76666666666668
risk,4517.559022402959,82.7
risk,7526.911136674079,156.36666666666667
risk,3870.653173314926,72.03333333333333
risk,5401.736562529716,99.86666666666666
risk,2404.0692523441876,38.03333333333333
risk,2055.3735835862844,30.95
risk,8302.387017265997,155.66666666666666
risk,2644.7014462475354,42.86666666666667
risk,2783.4640577323867,46.35
risk,2727.885106228444,44.833333333333336
risk,5827.920525044189,112.05
risk,7943.585389802582,146.8
