origin,destination,median_altitude,median_tas
KDFW,KPHX,22101.0,432.86
KAFW,KMCI,20412.0,453.77
KAFW,KIDA,26746.0,476.81
KDFW,KATL,17810.0,429.77
KDAL,KSDF,18081.0,408.4
KDAL,KIAG,15001.0,324.19
KAFW,KOMA,23707.0,472.56
KAFW,KRNO,25780.0,479.98
KAFW,CYQB,25515.0,437.54
KDFW,KMIA,23334.0,376.8
KDAL,KSAT,13649.0,420.48
KAFW,KOKC,6088.0,423.51
KDFW,KHSV,19797.0,434.17
KDFW,KRFD,24135.0,464.34
KAFW,KMAF,13236.0,440.67
KDFW,KGSO,18327.0,405.11
KDAL,KCNO,21933.0,459.43
KAFW,KAUS,10024.0,418.43
KDAL,KHTS,22767.0,451.38
KAFW,KCVG,24303.0,444.54
KAFW,KIND,25382.0,478.74
KAFW,KCOE,21875.0,429.78
KDFW,KEWR,22636.0,369.88
KAFW,KDRT,11902.0,436.46
KAFW,KAMA,10557.0,431.48
KDFW,KLIT,13195.0,423.54
KAFW,KCPR,22272.0,439.73
KAFW,KMFE,15099.0,431.44
KDFW,KGYY,22196.0,464.61
