origin,destination,median_altitude,median_tas
KDFW,KPHX,28191.0,478.93
KAFW,KCVG,28046.0,478.1
KDFW,KGSO,27534.0,479.2
KDFW,KATL,28130.0,477.93
KAFW,KAUS,11920.0,434.49
KAFW,KIDA,27871.0,480.59
KDFW,KGYY,27215.0,477.99
KDAL,KIAG,27453.0,481.61
KDFW,KMIA,27504.0,479.84
KDAL,KSDF,27979.0,477.44
KDAL,KCNO,27426.0,481.74
KAFW,CYQB,26768.0,485.27
KDAL,KHTS,26560.0,478.12
KAFW,KCOE,27082.0,482.57
KAFW,KDRT,16155.0,449.1
KAFW,KOMA,23257.0,472.77
KDFW,KLIT,17058.0,451.98
KAFW,KMFE,19872.0,463.35
KAFW,KMAF,14409.0,443.27
KDFW,KHSV,26301.0,476.03
KDFW,KEWR,27301.0,482.36
KAFW,KMCI,19592.0,460.08
KAFW,KIND,28079.0,477.68
KDAL,KSAT,14037.0,441.91
KAFW,KRNO,27539.0,482.42
KDFW,KRFD,28133.0,478.0
KAFW,KOKC,7633.0,425.35
KAFW,KAMA,14386.0,443.2
KAFW,KCPR,27760.0,478.8
