origin,destination,median_altitude,median_tas
KDFW,KIAH,13110.0,315.57
KAFW,KBNA,29365.0,418.3
KAFW,KMSY,23697.0,372.66
KDFW,KBDL,35343.0,445.75
KAFW,KLAS,34813.0,445.43
KAFW,KMCI,23513.0,371.46
KAFW,KMSP,34697.0,446.27
KAFW,KGEG,35333.0,445.81
KDFW,KJAX,34765.0,446.15
KDAL,MMSP,33644.0,442.13
KDFW,KTIK,10161.0,300.36
KAFW,KBFM,26715.0,405.05
KAFW,KIDA,34917.0,445.56
KAFW,KMCO,34784.0,445.58
KDFW,KCVG,34173.0,446.38
KDFW,KIND,33495.0,442.76
KAFW,KCLT,34757.0,445.44
KAFW,KSBD,34963.0,445.21
KDFW,KDOV,35055.0,445.19
KDFW,KMEM,22345.0,367.44
KAFW,KOPF,34954.0,445.4
KDAL,KLRD,20818.0,357.11
KAFW,KICT,17228.0,339.36
KAFW,KOKC,9701.0,297.43
KAFW,KPHX,34709.0,446.23
KDFW,KGSO,34783.0,445.66
KDFW,KSJC,35256.0,445.62
KDFW,KHSV,27717.0,409.84
KDFW,KMSP,34699.0,446.31
KAFW,KDRT,18138.0,340.23
KDFW,KLIT,16420.0,333.14
KAFW,KAMA,16115.0,331.92
KDFW,KLFT,19229.0,347.85
KAFW,KSKF,14773.0,324.36
KAFW,KPDX,35381.0,445.87
KDFW,KMCO,34776.0,445.79
KAFW,KMQY,29711.0,422.92
KAFW,KMEM,23075.0,369.48
KDFW,KTUL,13750.0,319.97
KAFW,KMIA,34955.0,445.27
KDAL,KMRC,27141.0,407.68
KAFW,KORD,34108.0,445.77
