origin,destination,median_altitude,median_tas
KAFW,KMEM,23441.0,463.0
KAFW,KMIA,23699.0,442.82
KDFW,KTUL,12867.0,437.86
KAFW,KORD,22852.0,437.5
KDAL,KMRC,26106.0,475.93
KAFW,KDRT,15335.0,436.44
KAFW,KAMA,16599.0,450.47
KDFW,KLIT,18180.0,455.71
KAFW,KSKF,14710.0,433.98
KDFW,KLFT,20180.0,461.26
KAFW,KPDX,24088.0,464.5
KDFW,KMCO,25908.0,474.58
KAFW,KMQY,18640.0,367.3
KAFW,KICT,15612.0,447.33
KAFW,KOKC,14094.0,384.26
KDFW,KHSV,26388.0,472.71
KDFW,KSJC,22787.0,386.16
KDFW,KGSO,25919.0,439.74
KAFW,KPHX,24054.0,471.03
KDFW,KMSP,23530.0,471.32
KDAL,KLRD,17428.0,444.95
KDFW,KIND,26754.0,475.27
KDFW,KCVG,22012.0,413.77
KAFW,KCLT,23352.0,399.64
KAFW,KSBD,18906.0,252.12
KDFW,KDOV,26165.0,475.06
KAFW,KOPF,24764.0,470.91
KDFW,KMEM,22163.0,460.75
KAFW,KMCO,22072.0,445.27
KAFW,KMCI,21964.0,463.34
KAFW,KMSP,18554.0,374.84
KAFW,KGEG,24509.0,443.54
KDAL,MMSP,18425.0,342.13
KDFW,KJAX,25317.0,466.88
KDFW,KTIK,14333.0,408.42
KAFW,KBFM,27760.0,475.82
KAFW,KIDA,25709.0,466.98
KAFW,KBNA,19965.0,428.2
KDFW,KIAH,15042.0,397.4
KDFW,KBDL,24228.0,447.37
KAFW,KMSY,25122.0,475.91
KAFW,KLAS,23575.0,421.54
