Regime,Total Fuel Burn (kg),Total Time in Flight (min)
fuel,2497.8713476454573,64.96666666666667
fuel,4979.015277093073,127.2
fuel,5634.835633450268,144.31666666666666
fuel,2522.561078351936,65.75
fuel,5298.235554241318,137.45
fuel,3323.859006598141,86.75
fuel,1575.2541945937035,41.43333333333333
fuel,1071.04308798435,28.7
fuel,7045.297208723944,182.98333333333332
fuel,3900.9993041733724,102.2
fuel,1458.3545721052137,38.333333333333336
fuel,4062.9005739900385,106.86666666666666
fuel,2433.0077553179235,63.333333333333336
fuel,5136.526900697652,132.4
fuel,4706.030364292366,122.23333333333333
fuel,7069.110947568776,183.88333333333333
fuel,3138.7153300027567,81.76666666666667
fuel,2369.4650918236066,61.833333333333336
fuel,3835.857048330533,100.55
fuel,3353.2590179088047,87.5
fuel,2992.4665259185676,77.43333333333334
fuel,2014.541073002448,52.05
fuel,4245.774585029448,111.33333333333333
fuel,4987.186609640063,127.95
fuel,5623.498996778288,143.93333333333334
fuel,1749.7240393540817,45.65
fuel,1392.8783735299824,36.93333333333333
fuel,4039.856497591533,106.33333333333333
fuel,4232.680261881537,111.55
fuel,1915.1628695822872,49.43333333333333
fuel,6282.739857729084,160.61666666666667
fuel,1783.0574597109921,46.63333333333333
fuel,3063.5435725807497,79.68333333333334
fuel,4527.836035382896,119.36666666666666
fuel,4926.088620747636,125.6
fuel,7811.070632315065,200.11666666666667
fuel,6952.924301438306,180.13333333333333
fuel,5686.594663264037,145.65
fuel,1870.9245789122772,48.833333333333336
fuel,4242.31198939159,111.66666666666667
fuel,2221.5873759048877,58.0
fuel,1116.8977128647368,29.9
likelihood,4739.038447598544,79.6
likelihood,7925.055393735967,149.33333333333334
likelihood,8743.128640625491,175.11666666666667
likelihood,5230.254047532299,90.08333333333333
likelihood,7051.078636229134,136.61666666666667
likelihood,6715.595823540644,112.21666666666667
likelihood,2898.797094738644,51.96666666666667
likelihood,1622.4483430751127,28.583333333333332
likelihood,11300.225094788082,217.9
likelihood,4896.8356272889105,92.05
likelihood,1959.794957734147,35.016666666666666
likelihood,7475.544372053246,133.08333333333334
likelihood,5468.68389869909,84.23333333333333
likelihood,8703.915160821816,156.91666666666666
likelihood,6969.596931794105,135.13333333333333
likelihood,10967.493049448565,222.21666666666667
likelihood,4379.5617493987975,80.95
likelihood,4524.1257236875135,73.03333333333333
likelihood,7014.812008727073,125.38333333333334
likelihood,6843.732332227029,113.53333333333333
likelihood,4399.582236189912,80.63333333333334
likelihood,3104.984710167507,55.35
likelihood,5902.1651327602385,109.58333333333333
likelihood,7840.065337782469,150.81666666666666
likelihood,8836.00910503606,173.81666666666666
likelihood,2633.5891253049717,47.45
likelihood,2654.000706800086,43.233333333333334
likelihood,8121.547113529976,144.9
likelihood,7646.032894341492,139.35
likelihood,2631.541225668586,49.166666666666664
likelihood,9649.992881976461,188.5
likelihood,3492.197300635027,51.81666666666667
likelihood,5130.59613992694,88.43333333333334
likelihood,7761.225052877632,145.73333333333332
likelihood,8072.68807138997,148.56666666666666
likelihood,10242.916711973086,204.05
likelihood,12160.752695471074,235.21666666666667
likelihood,7588.519164081114,145.18333333333334
likelihood,2221.577785100878,40.333333333333336
likelihood,6386.610157971105,121.6
likelihood,2628.7541313340166,49.0
likelihood,1865.4777883785716,32.43333333333333
risk,3370.133097871292,62.95
risk,6566.431831411215,131.48333333333332
risk,7122.281233878293,148.16666666666666
risk,3712.482503778031,68.95
risk,6865.331183243921,136.45
risk,5481.319297985138,98.25
risk,2114.944234883119,38.233333333333334
risk,1495.8786399853443,26.65
risk,9816.7527051731,197.46666666666667
risk,5979.161160698745,123.36666666666666
risk,1840.416678301501,30.766666666666666
risk,7264.8058258574,130.88333333333333
risk,3184.3049143480434,60.9
risk,7688.669769023798,148.5
risk,7362.3556605446465,142.16666666666666
risk,9409.185512878044,196.96666666666667
risk,4118.787857050917,79.2
risk,3056.596824653047,62.6
risk,4831.465942502387,95.18333333333334
risk,6328.177145762572,106.58333333333333
risk,3586.9197268235257,70.21666666666667
risk,2545.4087078625894,47.083333333333336
risk,5504.455277596496,107.46666666666667
risk,6876.263685636215,138.7
risk,7099.9754215260145,140.68333333333334
risk,2176.8881452381856,38.016666666666666
risk,2263.7964391607743,37.35
risk,6009.307932018029,114.66666666666667
risk,6926.105138716044,130.38333333333333
risk,2416.0888201663724,42.766666666666666
risk,7839.639613895337,156.15
risk,2170.8233626878587,39.1
risk,3639.8855142647944,70.58333333333333
risk,5886.531557713393,119.31666666666666
risk,6655.552116090974,129.93333333333334
risk,10145.71236420747,205.51666666666668
risk,9814.937328439124,205.73333333333332
risk,11759.242278740983,228.96666666666667
risk,2293.455051098113,39.55
risk,5906.572656546689,114.3
risk,2924.55192159429,51.35
risk,1596.6484486735148,27.7
