origin,destination,median_altitude,median_tas
KAFW,KICT,17228.0,339.36
KDFW,KMCI,23561.0,371.77
KDFW,KSHV,11011.0,306.64
KAFW,KMAF,16075.0,330.7
KAFW,KPHX,34709.0,446.23
KAFW,KONT,34973.0,445.38
KDAL,KLRD,20818.0,357.11
KAFW,KIAH,13798.0,319.76
KDAL,KTOL,34763.0,445.88
KAFW,KMEM,23075.0,369.48
KAFW,KIND,33573.0,441.38
KDFW,KARA,19683.0,349.7
KDFW,KLFT,19229.0,347.85
KDAL,MMQT,34680.0,446.26
KAFW,KIAG,35033.0,445.4
KDFW,KLIT,16420.0,333.14
KAFW,KMFE,24018.0,373.99
KDAL,KSUS,25717.0,384.36
KDFW,KMCO,34776.0,445.79
KDAL,MMSP,33644.0,442.13
KDFW,KONT,34989.0,445.37
KAFW,KSHV,12073.0,313.06
KAFW,KBFM,26715.0,405.05
KDFW,KTIK,10161.0,300.36
KDFW,KOKC,10176.0,300.46
KDAL,KDRT,18510.0,341.04
KAFW,MMQT,34682.0,446.14
KDFW,KATL,32461.0,439.26
KAFW,KMSY,23697.0,372.66
KDAL,KMFE,23817.0,372.86
KAFW,KLAX,35040.0,445.41
KDFW,KMEM,22345.0,367.44
KAFW,KMCO,34784.0,445.58
KDAL,KSAT,14242.0,320.05
KAFW,KJFK,35226.0,445.55
KDFW,KMFE,23924.0,373.6
KDAL,KELP,26417.0,405.03
